ticket_id,category_id,agent_id,priority,status,created_at,first_response_at,resolved_at,root_cause,resolution_type,escalation_flag,customer_impact,description
TCK-0000001,3,23,P3,Resolved,2026-06-15 13:48:43+00:00,2026-06-15 14:27:47.524082709+00:00,2026-06-15 19:21:45.810055125+00:00,Monitoring Noise,Vendor Fix,False,Low,P3 Platform/Compute: node saturation alerts; suspected Monitoring Noise.
TCK-0000002,1,32,P3,Resolved,2026-04-20 06:10:55+00:00,2026-04-20 06:44:24.294487461+00:00,2026-04-20 14:24:55.908099694+00:00,Capacity,Restart,True,Low,P3 Network/VPN: users unable to establish tunnel; suspected Capacity.
TCK-0000003,11,32,P2,Closed,2026-03-20 04:17:38+00:00,2026-03-20 04:31:34.537720804+00:00,2026-03-20 16:25:32.630047590+00:00,Code Regression,User Education,False,Medium,P2 Billing/Payments: processor decline spike; suspected Code Regression.
TCK-0000004,3,10,P3,Resolved,2026-05-23 20:50:57+00:00,2026-05-23 21:22:38.047740261+00:00,2026-05-24 12:28:35.140516192+00:00,Monitoring Noise,Knowledge Base,False,Medium,P3 Platform/Compute: pod scheduling delay; suspected Monitoring Noise.
TCK-0000005,2,21,P4,Resolved,2026-07-23 09:02:15+00:00,2026-07-23 09:38:56.426992373+00:00,2026-07-23 19:49:57.051794061+00:00,Vendor Outage,Knowledge Base,False,Low,P4 Network/DNS: incorrect record propagation; suspected Vendor Outage.
TCK-0000006,7,9,P2,Resolved,2026-04-30 07:16:24+00:00,2026-04-30 08:31:39.761092523+00:00,2026-04-30 11:25:25.075791419+00:00,Documentation Gap,Config Change,False,Low,P2 Application/API: token validation failures; suspected Documentation Gap.
TCK-0000007,12,18,P4,Resolved,2026-02-22 07:29:55+00:00,2026-02-22 11:55:07.521012934+00:00,2026-02-22 18:51:22.885887942+00:00,Code Regression,Config Change,False,Medium,P4 Integrations/Webhook: signature validation failure; suspected Code Regression.
TCK-0000008,3,25,P2,Closed,2026-07-23 21:51:35+00:00,2026-07-23 22:05:25.670940115+00:00,2026-07-24 06:36:22.530013167+00:00,Monitoring Noise,User Education,False,Critical,P2 Platform/Compute: instance health check failures; suspected Monitoring Noise.
TCK-0000009,13,15,P4,Resolved,2026-02-21 08:41:32+00:00,2026-02-21 11:01:14.216163285+00:00,2026-02-22 02:22:22.067264712+00:00,Permissions,Restart,False,None,P4 Integrations/CRM Sync: stale customer record; suspected Permissions.
TCK-0000010,13,18,P3,Resolved,2026-02-12 00:33:35+00:00,2026-02-12 00:39:49.404557125+00:00,2026-02-12 09:04:09.616134768+00:00,Data Sync,Config Change,False,Medium,P3 Integrations/CRM Sync: stale customer record; suspected Data Sync.
TCK-0000011,1,27,P3,Closed,2026-03-08 08:38:47+00:00,2026-03-08 10:55:01.051716638+00:00,2026-03-08 12:10:42.084009168+00:00,Vendor Outage,Restart,False,Medium,P3 Network/VPN: users unable to establish tunnel; suspected Vendor Outage.
TCK-0000012,12,18,P1,Resolved,2026-02-16 10:50:44+00:00,2026-02-16 11:14:51.224536979+00:00,2026-02-16 17:32:00.908692076+00:00,Code Regression,User Education,False,High,P1 Integrations/Webhook: subscriber endpoint timeout; suspected Code Regression.
